ball,score,commentary,second_commentary
13.6,•,"Green to Hardik, no run no run 139kph, yorker outside off, he digs this out to cover","Green to Hardik Pandya, no run, nails the yorker around off-stump, Hardik digs it out to cover"
13.5,4,"Green to Hardik, FOUR runs FOUR runs hammered forward of point! Short and wide and he crunches this with power well infront of the sweeper who is behind point See all photos","Green to Hardik Pandya, FOUR, not off the middle but in the gap, the outfield does the rest. Width on offer and Hardik chops the cut in front of square past cover, no chance for the sweeper to get across and stop that"
13.4,1,"Green to Axar Patel,  1 run 1 run back of a length, fourth stump, he stands up and forces this to deep point","Green to Axar, 1 run, short of length close to off, Axar rides the bounce and punches it to sweeper cover"
13.3,W,"Green to Suryakumar, OUT OUT caught behind! Extra bounce! Back of a length in the Test match channel, Surya tried to guide to deep third but gets a thin edge through to Wade","Green to Suryakumar Yadav, out Caught by Wade!! Massive wicket! Suryakumar was starting to up the tempo and he departs attempting a cheeky shot. Short of length delivery and around off, he wanted to run it down to third man but it was too close to him, only manages an outside edge and the ball carries nicely to Wade. Suryakumar Yadav c Wade b Green 46(25) [4s-2 6s-4]"
13.2,1,"Green to Hardik,  1 run 1 run top edge flies to fine leg but just short of Hazlewood. Extra pace and bounce from Green and he was lucky the attempted pull didn't reach fine leg","Green to Hardik Pandya, 1 run, banged in halfway down, Hardik takes it on and goes for the pull, the top-edge lands near fine leg where Hazlewood is happy to take it on the bounce. Maybe he could have gone for the catch?"
13.1,6,"Green to Hardik,  SIX runs SIX runs clubbed over midwicket! Length ball, top of middle, he sits deep and smashes this high over midwicket","Green to Hardik Pandya, SIX, make it three in a row. Australia's 5th bowler has to bowl couple more and Hardik wants to target him. Back of a length delivery and Hardik was waiting for it, short-arm jabs it over deep mid-wicket. The amount of power he generated on that shot is ridiculous"
12.6,6,"Zampa to Suryakumar,  SIX runs SIX runs And again! Deep midwicket this time! Zampa is furious with himself. Again a delivery in the slot, he was down on one knee to send it to the moon over deep midwicket","Zampa to Suryakumar Yadav, SIX, and again! Zampa continues dishing out length, and SKY continues going down on it and tonking it even deeper, even higher"
12.5,6,"Zampa to Suryakumar,  SIX runs SIX runs launched over long on! 84kph but a step hit. Wrong length from Zampa, he cleared the front leg and smashed it over long on who watched it sail into the stands","Zampa to Suryakumar Yadav, SIX, slot ball. A rare loose delivery this from Zampa in this spell, and Surya piles on, with a swinging full-blooded slog, over long-on"
12.4,1,"Zampa to Hardik,  1 run 1 run tossed high on off, 88kph, he drives to long off","Zampa to Hardik Pandya, 1 run, very loopy, and dipping in the blockhole. Pandya unwinds from deep in the crease, and whips it to long-off"
12.3,1,"Zampa to Suryakumar,  1 run 1 run 96kph, fired into leg, he whips to deep midwicket","Zampa to Suryakumar Yadav, 1 run, full, leg-lined, Surya bottom-hands it to deep mid-wicket"
12.2,1,"Zampa to Hardik,  1 run 1 run tossed up on off, 88kph, he drives to long off","Zampa to Hardik Pandya, 1 run, full, on off, pushed off the front foot, through the covers"
12.1,1,"Zampa to Suryakumar,  1 run 1 run 92kph, leg break drifting into leg, he glances to short fine","Zampa to Suryakumar Yadav, 1 run, drifting in on leg-stump. SKY walks, flicks, along the ground, to deep mid-wicket"
11.6,•,"Hazlewood to Hardik, no run no run back of a length on off, he's cramped, cutting to backward point","Hazlewood to Hardik Pandya, no run, massive in-jagger, and it has Pandya hopping as he stabs it from nearly his stomach-line to point"
11.5,W,"Hazlewood to Rahul, OUT OUT straight to deep square! Angled into leg, he tries to pick this up off the pads and deposit over deep square but can't get the elevation or the length and Ellis takes the catch easily on the rope","Hazlewood to Rahul, out Caught by Nathan Ellis!! Whips it off his legs, and whips it uppishly, but in the process holes out to deep square leg. Rahul seemed to lose his shape a bit after the drinks break, and this him losing it again, going too hard, without finding the middle. It was the knuckle ball from Hazlewood and hence Rahul could not get the power behind the shot. Rahul c Nathan Ellis b Hazlewood 55(35) [4s-4 6s-3]"
11.4,4,"Hazlewood to Rahul, FOUR runs FOUR runs nearly holes out but Maxwell can't get there! This was smeared flat to wide long on, Maxwell dives full length to try and take it and it half volleys short of him and gets through him for four","Hazlewood to Rahul, FOUR, nearly holed out! Maxwell does stunningly at long-on, going for the catch after running to his right, but the ball dies right in front of him, and bounces past his hands to trickle away into the boundary. KL had a heave at this, which was nowhere off the middle"
11.3,1,"Hazlewood to Suryakumar,  1 run 1 run drives and gets a thick inside edge that runs to deep square leg","Hazlewood to Suryakumar Yadav, 1 run, looks to drive, but gets a big inside-edge running away to deep square leg"
11.2,6,"Hazlewood to Suryakumar,  SIX runs SIX runs clipped over midwicket! So sweet from SKY. Angled into middle and leg and he just picks this up with ease and clears the rope","Hazlewood to Suryakumar Yadav, SIX, the typical walking-wristy-SKY-flick. He's making it look super easy. 134kph, angling in, and he walks across with a Flamingo-like-flourish to send it over deep mid-wicket"
11.1,1,"Hazlewood to Rahul,  1 run 1 run 134kph back of a length on middle, he stands tall and punches this to long on","Hazlewood to Rahul, 1 run, 134kph, jags back in off a back of a length, punched down to long-on off the back foot"
10.6,1,"Zampa to Rahul,  1 run 1 run tossed up on off, he drives to long off, 50 off 32 for Rahul. He's played beautifully and gets a great ovation See all photos","Zampa to Rahul, 1 run, pitched up, and stroked watchfully through extra cover now. Rahul has his fifty, and he seems to have found the template!"
10.5,•,"Zampa to Rahul, no run no run slower, 82kph, leg break, well bowled, he defends off a thick inside edge as he was deceived","Zampa to Rahul, no run, tries tentatively pushing it towards cover for his fifty, but the ball spins in, and takes his inside-edge"
10.4,1,"Zampa to Suryakumar,  1 run 1 run advances and yorks himself, driving to long on","Zampa to Suryakumar Yadav, 1 run, charges, hoicks, and toe-ends it to long-on"
10.3,1,"Zampa to Rahul,  1 run 1 run 95kph slid through on off, he gives room to cut to deep point","Zampa to Rahul, 1 run, sharp slider this: coming in off a length, quickly on middle. Rahul gets hurried on as he chops this to deep sweeper"
10.2,1,"Zampa to Suryakumar,  1 run 1 run 88kph, flatter in middle, he heaves a slog sweep along the deck to deep midwicket","Zampa to Suryakumar Yadav, 1 run, a massive slog-sweep, a bigger miscue as he drags this through square leg off the inside-half"
10.1,1,"Zampa to Rahul,  1 run 1 run drifting into leg, he advances and digs out a drive to long on","Zampa to Rahul, 1 run, dances out, yorks himself in the process, and digs it to long-on"
9.6,1,"Ellis to Rahul,  1 run 1 run on-pace short ball on middle and leg, punched to wide long-on off the back foot","Nathan Ellis to Rahul, 1 run, 137kph, a neat over this -- tight, good length, angling in, punched through mid-wicket"
9.5,1,"Ellis to Suryakumar,  1 run 1 run suspect another slower ball on the hips, hauled away to long leg","Nathan Ellis to Suryakumar Yadav, 1 run, another slower one, off a back of a length. SKY waits, clears out his front leg again, and heaves it to fine leg"
9.4,•,"Ellis to Suryakumar, no run no run slower bouncer outside off, Surya is early into the ramp and is beaten by the lack of pace","Nathan Ellis to Suryakumar Yadav, no run, a neat foxing slower bouncer. 113kph, and Yadav jumps, tries upper-cutting, and is beaten"
9.3,2,"Ellis to Suryakumar,  2 runs 2 runs short of a length and outside off, slashed away to sweeper cover. They take on Hazlewood's arm for the second","Nathan Ellis to Suryakumar Yadav, 2 runs, 135.1kph, shuffles across, stands with a very open stance, and cuts it behind point to pinch another two before sweeper cleans up"
9.3,2,"Ellis to Suryakumar,  2 runs 2 runs short of a length and outside off, slashed away to sweeper cover. They take on Hazlewood's arm for the second","Nathan Ellis to Suryakumar Yadav, wide, 135kph, loses his wrist, and loses his line with an attempted yorker that ends up well down leg"
9.3,1w,"Ellis to Suryakumar, 1 wide 1 wide low full-toss, sliding down the leg side for wide","Nathan Ellis to Suryakumar Yadav, 2 runs, 135.1kph, shuffles across, stands with a very open stance, and cuts it behind point to pinch another two before sweeper cleans up"
9.3,1w,"Ellis to Suryakumar, 1 wide 1 wide low full-toss, sliding down the leg side for wide","Nathan Ellis to Suryakumar Yadav, wide, 135kph, loses his wrist, and loses his line with an attempted yorker that ends up well down leg"
9.2,1,"Ellis to Rahul,  1 run 1 run back of a length and ducks back in to cramp Rahul who hastily stabs a single to the covers","Nathan Ellis to Rahul, 1 run, 132.5kph, jags back in sharply, and Rahul awkwardly jabs it into the covers"
9.1,1,"Ellis to Suryakumar,  1 run 1 run full and angling into middle and leg, Surya shows full face of the bat and drives to long-on","Nathan Ellis to Suryakumar Yadav, 1 run, a straight-batted push, straight down the ground"
8.6,6,"Maxwell to Rahul,  SIX runs SIX runs Slog-swept into the stands beyond square leg for six. Much fuller and angling across off, Rahul sinks to one knee and unleashes a big slog-sweep. Bam!","Maxwell to Rahul, SIX, okay, he's received this new Indian template, loud and clear. He goes one-kneed, gets under the length, and slogs it flat over deep mid-wicket"
8.5,•,"Maxwell to Rahul, no run no run shorter and much closer to off stump, jabbed back to Maxwell","Maxwell to Rahul, no run, spins back in a touch, bounces extra as well, hitting the upper half of Rahul's bat as he tries cutting"
8.4,1,"Maxwell to Suryakumar,  1 run 1 run shorter and angling across off, flashed to sweeper cover once again","Maxwell to Suryakumar Yadav, 1 run, short again, but angles across and gives him width, which he cuts wide of sweeper"
8.3,1,"Maxwell to Rahul,  1 run 1 run hauled away to deep midwicket off the back foot","Maxwell to Rahul, 1 run, shorter, pulled hard, but is straight to deep mid-wicket"
8.2,1,"Maxwell to Suryakumar,  1 run 1 run whipped away from a middle-stump line through square leg for one more","Maxwell to Suryakumar Yadav, 1 run, fuller, more on middle, and whipped round the corner"
8.1,1,"Maxwell to Rahul,  1 run 1 run short and angling across off stump, slashed away off the back foot to sweeper cover","Maxwell to Rahul, 1 run, flat, angling across from round the wicket. Slapped to deep point"
7.6,1,"Green to Rahul,  1 run 1 run off-stump yorker, good comeback from Cam Green. Dug out in front of square on the off side for one","Green to Rahul, 1 run, 138kph, yorker, on off, dug out into the off-side, just next to the pitch, and Yadav calls him through for a quick one"
