ball,score,commentary,second_commentary
11.6,•,"hazlewood to hardik , no run no run good on off , he  cramped , cutting to backward-point","hazlewood to hardik pandya , no run , massive in-jagger , and it has pandya hopping as he stabs it from nearly his stomach-line to point"
11.5,W,"hazlewood to rahul , out out straight to deep-square  angled into leg , he tries to pick this up off the pads and deposit over deep-square but can't get the elevation or the length and ellis takes the catch easily on the rope","hazlewood to rahul , out caught by nathan ellis   whips it off his legs , and whips it uppishly , but in the process holes out to deep-square-leg  rahul seemed to lose his shape a bit after the drinks break , and this him losing it again , going too hard , without finding the middle  it was the knuckle ball from hazlewood and hence rahul could not get the power behind the shot  rahul c nathan ellis b hazlewood 55 35  [4s-4 6s-3]"
11.4,4,"hazlewood to rahul , four runs four runs nearly holes out but maxwell can't get there  this was smeared flat to wide long-on , maxwell dives full length to try and take it and it half volleys short of him and gets through him for four","hazlewood to rahul , four , nearly holed out  maxwell does stunningly at long-on , going for the catch after running to his right , but the ball dies right in front of him , and bounces past his hands to trickle away into the boundary  kl had a heave at this , which was nowhere off the middle"
11.3,1,"hazlewood to suryakumar ,  1 run 1 run drives and gets a thick inside-edge that runs to deep-square-leg","hazlewood to suryakumar yadav , 1 run , looks to drive , but gets a big inside-edge running away to deep-square-leg"
11.2,6,"hazlewood to suryakumar ,  six runs six runs clipped over midwicket  so sweet from sky  angled into middle and leg and he just picks this up with ease and clears the rope","hazlewood to suryakumar yadav , six , the typical walking-wristy-sky-flick  he  making it look super easy  134kph , angling in , and he walks across with a flamingo-like-flourish to send it over deep-mid-wicket"
11.1,1,"hazlewood to rahul ,  1 run 1 run 134kph good on middle , he stands tall and punches this to long-on","hazlewood to rahul , 1 run , 134kph , jags back in off a good , punched down to long-on off the back foot"
10.6,1,"zampa to rahul ,  1 run 1 run tossed up on off , he drives to long-off , 50 off 32 for rahul  he  played beautifully and gets a great ovation see all photos","zampa to rahul , 1 run , pitched up , and stroked watchfully through extra-cover now  rahul has his fifty , and he seems to have found the template "
10.5,•,"zampa to rahul , no run no run slower , 82kph , leg break , well bowled , he defends off a thick inside-edge as he was deceived","zampa to rahul , no run , tries tentatively pushing it towards cover for his fifty , but the ball spins in , and takes his inside-edge"
10.4,1,"zampa to suryakumar ,  1 run 1 run advances and yorks himself , driving to long-on","zampa to suryakumar yadav , 1 run , charges , hoicks , and toe-ends it to long-on"
10.3,1,"zampa to rahul ,  1 run 1 run 95kph slid through on off , he gives room to cut to deep-point","zampa to rahul , 1 run , sharp slider this: coming in off a length , quickly on middle  rahul gets hurried on as he chops this to deep sweeper"
