Over,Length,Line,Position,Inside Circle,Outside Circle
3,Length,Leg-stump,Fine-leg,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°)"
4,Length,Leg-stump,Fine-leg,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°)"
5,Length,Leg-stump,Fine-leg,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°)"
6,Length,Leg-stump,Fine-leg,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°)"
7,Length,Leg-stump,Fine-leg,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
8,Length,Leg-stump,Fine-leg,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
9,Length,Leg-stump,Fine-leg,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
10,Length,Leg-stump,Fine-leg,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
11,Length,Leg-stump,Fine-leg,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
12,Length,Leg-stump,Fine-leg,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
13,Length,Leg-stump,Fine-leg,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
14,Length,Leg-stump,Fine-leg,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
15,Length,Leg-stump,Fine-leg,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
16,Length,Leg-stump,Fine-leg,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
17,Length,Leg-stump,Fine-leg,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
18,Length,Leg-stump,Fine-leg,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
19,Length,Leg-stump,Fine-leg,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
20,Length,Leg-stump,Fine-leg,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
1,Length,Leg-stump,Long-on,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°)"
2,Length,Leg-stump,Long-on,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°)"
3,Length,Leg-stump,Long-on,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°)"
4,Length,Leg-stump,Long-on,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°)"
5,Length,Leg-stump,Long-on,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°)"
6,Length,Leg-stump,Long-on,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°)"
7,Length,Leg-stump,Long-on,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
8,Length,Leg-stump,Long-on,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
9,Length,Leg-stump,Long-on,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
10,Length,Leg-stump,Long-on,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
11,Length,Leg-stump,Long-on,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
12,Length,Leg-stump,Long-on,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
13,Length,Leg-stump,Long-on,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
14,Length,Leg-stump,Long-on,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
15,Length,Leg-stump,Long-on,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
16,Length,Leg-stump,Long-on,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
17,Length,Leg-stump,Long-on,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
18,Length,Leg-stump,Long-on,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
19,Length,Leg-stump,Long-on,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
20,Length,Leg-stump,Long-on,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
1,Length,Leg-stump,Midwicket,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°)"
2,Length,Leg-stump,Midwicket,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°)"
3,Length,Leg-stump,Midwicket,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°)"
4,Length,Leg-stump,Midwicket,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°)"
5,Length,Leg-stump,Midwicket,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°)"
6,Length,Leg-stump,Midwicket,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°)"
7,Length,Leg-stump,Midwicket,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
8,Length,Leg-stump,Midwicket,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
9,Length,Leg-stump,Midwicket,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
10,Length,Leg-stump,Midwicket,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
11,Length,Leg-stump,Midwicket,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
12,Length,Leg-stump,Midwicket,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
13,Length,Leg-stump,Midwicket,"Leg Slip (Distance: 10m, Angle: 20°), Slip (Distance: 15m, Angle: 345°), Backward Short Leg (Distance: 15m, Angle: 10°), Gully (Distance: 25m, Angle: 320°), Leg Gully (Distance: 25m, Angle: 40°), Short Fine Leg (Distance: 25m, Angle: 20°), Fly Slip (Distance: 30m, Angle: 330°)","Mid-Off (Distance: 40m, Angle: 210°), Mid-On (Distance: 40m, Angle: 150°), Cover Point (Distance: 55m, Angle: 250°), Forward Square Leg (Distance: 55m, Angle: 100°), Point (Distance: 60m, Angle: 270°)"
