ball,score,commentary,second_commentary
13.2,2,"Hardie to Gaikwad,  2 runslength ball punched to the midwicket region for a couple","Hardie to Gaikwad, 2 runs, decent running between the wickets, Gaikwad clips this through mid-wicket for a couple of runs"
13.1,1,"Hardie to Tilak Varma,  1 runshort of length ball around leg stump. Pulled to fine leg","Hardie to Tilak Varma, 1 run, 129.6kph, short one at the hips, Tilak Varma swivel-pulls this to fine leg for a single"
12.6,4,"T Sangha to Gaikwad, FOUR runsshort of length on off. Turning away. Easy pickings for Ruturaj, who stays on the back foot and cuts over cover!","Sangha to Gaikwad, FOUR, back-to-back boundaries for Gaikwad - another half-tracker from Sangha, short and wide of off, Gaikwad backs away and then slaps it over cover for another boundary, 12 off the over"
12.5,4,"T Sangha to Gaikwad, FOUR runslength ball around off. Gaikwad stays in his crease, fronts up his stance, and then thumps a pull between long on and deep midwicket!","Sangha to Gaikwad, FOUR, clubbed, a half-tracker from Sangha - Gaikwad rocks back and then hammers the pull over mid-wicket, one bounce and over the ropes"
12.4,1,"T Sangha to Tilak Varma,  1 runfull ball on middle. Clipped off the back foot to the leg side","Sangha to Tilak Varma, 1 run, tossed up on off, worked in front of square on the on-side for a single"
12.4,1,"T Sangha to Tilak Varma,  1 runfull ball on middle. Clipped off the back foot to the leg side","Sangha to Tilak Varma, wide, pushed through with a seam-up action, but it's past the tramlines and is called as a wide"
12.4,1w,"T Sangha to Tilak Varma, 1 widefull ball, quite wide outside off. Lets it go","Sangha to Tilak Varma, 1 run, tossed up on off, worked in front of square on the on-side for a single"
12.4,1w,"T Sangha to Tilak Varma, 1 widefull ball, quite wide outside off. Lets it go","Sangha to Tilak Varma, wide, pushed through with a seam-up action, but it's past the tramlines and is called as a wide"
12.3,•,"T Sangha to Tilak Varma, no runfull ball outside off. Guided to backward point","Sangha to Tilak Varma, no run, tossed up well wide of off, sliced away straight to the fielder at backward point"
12.2,1,"T Sangha to Gaikwad,  1 runplayed to deep midwicket","Sangha to Gaikwad, 1 run, flighted delivery on middle and leg, worked down to long-on for a single"
12.1,1,"T Sangha to Tilak Varma,  1 rungood length ball on middle. Turning into leg. Pulled to deep backward square leg","Sangha to Tilak Varma, 1 run, tossed up on middle and leg, pulled away behind square on the on-side for a single"
11.6,4,"Kane Richardson to Gaikwad, FOUR runsshort of length, just outside off, Ruturaj rides the bounce and cuts it behind square for four more! Three boundaries in that over","K Richardson to Gaikwad, FOUR, lovely, short and wide of off, Gaikwad gets on top of the bounce and then crunches it square past point, races away to the ropes"
11.5,•,"Kane Richardson to Gaikwad, no runfullish ball outside off. Slapped to point","K Richardson to Gaikwad, no run, fuller length delivery and well wide of off, Gaikwad picks out backward point with the cut"
11.4,1,"Kane Richardson to Tilak Varma,  1 runlength ball just outside off. Angling across. Gets a bit of bat to it and guides it to deep third","K Richardson to Tilak Varma, 1 run, back of a length and angling across the left-hander, Varma runs it down towards third man"
