ball,score,commentary,second_commentary
11.6,1,"MW Short to Rinku Singh,  1 runchopped away to deep point on the back foot","Matthew Short to Rinku Singh, 1 run, flighted delivery outside off - punched behind square on the off-side for a single"
11.5,1,"MW Short to Gaikwad,  1 runshort and angling across off, chopped away to sweeper cover on the back foot","Matthew Short to Gaikwad, 1 run, the slider from Short, angled across the right-hander and it's chopped square on the off-side for a single"
11.4,1,"MW Short to Rinku Singh,  1 runclipped away through square leg for a single","Matthew Short to Rinku Singh, 1 run, tossed up on middle and leg, nudged behind square on the on-side for a single"
11.3,6,"MW Short to Rinku Singh,  SIX runslaunched over point with a reverse-sweep or rather a switch-hit. Special shot from Rinku. He takes it from the stumps and clears the boundary. SKY is up on his feet, applauding in the dugout","Matthew Short to Rinku Singh, SIX, beautifully played, Rinku brings out the switch-hit, reversed the stance, bent low and then swiped it over backward point - powerfully struck and it sails over the ropes"
11.2,•,"MW Short to Rinku Singh, no runflighted on middle from round the stumps, pushed back to the left of Short who makes a sprawling save","Matthew Short to Rinku Singh, no run, Short tosses one on off, pushed back at the bowler"
11.1,1,"MW Short to Gaikwad,  1 runslog-swept away to deep square","Matthew Short to Gaikwad, 1 run, flighted delivery from round the wicket - slugged away behind square on the on-side for a single"
10.6,1,"Green to Gaikwad,  1 runshorter and into the pitch, 94ks, rushes Gaikwad into a pull. Hauled away to deep midwicket","Chris Green to Gaikwad, 1 run, pushed through by Green, Ruturaj is hurried onto the pull and mistimes it past mid-wicket for a single"
10.5,•,"Green to Gaikwad, no rungood length and sliding into off stump, defended back to Green on the front foot","Chris Green to Gaikwad, no run, flighted delivery on off, defended back at the bowler"
10.4,1,"Green to Rinku Singh,  1 runwhisked away to wide long-on","Chris Green to Rinku Singh, 1 run, tossed up on off, stayed a fraction low and it's pushed down to mid-on for a single"
10.3,1lb,"Green to Gaikwad, 1 leg byevery full and drifting down the leg side, tickled away fine past the keeper","Chris Green to Gaikwad, leg byes, 1 run, too straight from Green, brushes Ruturaj's pad as he looked to flick, rolls past short fine for a leg-bye"
10.2,1,"Green to Rinku Singh,  1 runtucked away off the hips to deep square leg","Chris Green to Rinku Singh, 1 run, tossed up on middle and leg, tucked past square leg for a single"
10.1,•,"Green to Rinku Singh, no runpushed through on off, played back to Green","Chris Green to Rinku Singh, no run, flighted delivery on off, defended back at the bowler"
9.6,•,"T Sangha to Gaikwad, no runslider outside off, chopped away to short third","Sangha to Gaikwad, no run, tossed up well wide of off, Ruturaj finds backward point with the cut"
9.5,6,"T Sangha to Gaikwad,  SIX runswalloped over the midwicket boundary. Thigh-high short ball, angling into middle, Gaikwad goes back and pulls it flat and hard over the leg side","Sangha to Gaikwad, SIX, crunched, a long hop from Sangha - Ruturaj picks the length early, swivels across and then hammers the pull over wide mid-wicket for a maximum"
9.4,1,"T Sangha to Rinku Singh,  1 runshort and skidding into the hips, tucked away behind square on the leg side","Sangha to Rinku Singh, 1 run, flighted delivery on middle and leg, nudged behind square on the on-side for a single"
9.3,1,"T Sangha to Gaikwad,  1 rundragged short and wide of off, slapped away to sweeper cover","Sangha to Gaikwad, 1 run, dragged short and wide of off, slapped to deep cover for a single"
9.2,•,"T Sangha to Gaikwad, no runplayed back to Sangha","Sangha to Gaikwad, no run, tossed up on middle and leg, defended to the on-side"
9.1,1,"T Sangha to Rinku Singh,  1 runtossed up and breaking into the pads, flicked away to deep midwicket","Sangha to Rinku Singh, 1 run, flighted delivery on off, worked in front of square on the on-side for a single"
8.6,•,"Dwarshuis to Gaikwad, no runback of a length and outside off, punched on the up to extra-cover","Dwarshuis to Gaikwad, no run, on a length and pushed across the right-hander, punched straight to the fielder at cover"
8.5,1,"Dwarshuis to Rinku Singh,  1 runon a length and on the pads, tucked away to deep midwicket","Dwarshuis to Rinku Singh, 1 run, fuller length delivery on the pads, clipped in front of square on the on-side for a single"
8.4,4,"Dwarshuis to Rinku Singh, FOUR runship-high short ball outside off, Rinku latches onto it and swats it away to the left of midwicket","Dwarshuis to Rinku Singh, FOUR, cracking shot, dragged short and well wide of off, Rinku picks the length early, swivels across and then pulls it wide of mid-wicket, runs away to the ropes"
8.3,1,"Dwarshuis to Gaikwad,  1 runfull and swinging into middle and leg, flicked away to deep square","Dwarshuis to Gaikwad, 1 run, fuller length delivery on off, clipped off the inner half past mid-wicket for a single"
8.2,1,"Dwarshuis to Rinku Singh,  1 runon a length and outside off, guided away between point and cover","Dwarshuis to Rinku Singh, 1 run, on a good length and just outside off, Rinku pushes it into the gap square past point for a single"
